date,code,open,high,low,close,volume,amount,turn,pctChg
2025-01-02,sz.002642,7.1900000000,7.2600000000,6.8900000000,6.9800000000,21264250,150098314.5000,3.218400,-2.377600
2025-01-03,sz.002642,7.0000000000,7.0500000000,6.5300000000,6.5400000000,23878250,160417005.5000,3.614100,-6.303700
2025-01-06,sz.002642,6.5000000000,6.6100000000,6.2900000000,6.5100000000,16872882,109475448.1800,2.553800,-0.458700
2025-01-07,sz.002642,6.5400000000,6.7200000000,6.5300000000,6.7100000000,15564900,102964064.0000,2.355800,3.072200
2025-01-08,sz.002642,6.7200000000,6.7800000000,6.3800000000,6.6300000000,21016800,138601320.0000,3.181000,-1.192300
2025-01-09,sz.002642,6.5700000000,6.8200000000,6.5600000000,6.6500000000,15886100,106172049.0000,2.404400,0.301700
2025-01-10,sz.002642,6.6500000000,6.7200000000,6.3500000000,6.3600000000,17560900,114724286.0000,2.657900,-4.360900
2025-01-13,sz.002642,6.2700000000,6.4900000000,6.1100000000,6.4600000000,18595713,118097371.1100,2.814500,1.572300
2025-01-14,sz.002642,6.5200000000,6.7900000000,6.5000000000,6.7700000000,20100747,134428328.2800,3.042300,4.798800
2025-01-15,sz.002642,6.7700000000,6.8500000000,6.6800000000,6.7600000000,15457373,104609220.5200,2.339500,-0.147700
2025-01-16,sz.002642,6.8500000000,6.9700000000,6.7300000000,6.8200000000,15217150,104085479.5000,2.303200,0.887600
2025-01-17,sz.002642,6.8100000000,6.8700000000,6.7200000000,6.8100000000,14145400,96093773.0000,2.141000,-0.146600
2025-01-20,sz.002642,6.9400000000,6.9800000000,6.7200000000,6.8600000000,17254700,118416850.0000,2.611600,0.734200
2025-01-21,sz.002642,6.8800000000,6.9300000000,6.7300000000,6.8000000000,11955400,81283221.0000,1.809500,-0.874600
2025-01-22,sz.002642,6.7900000000,7.0200000000,6.6600000000,6.8400000000,25824696,176669491.0600,3.908700,0.588200
2025-01-23,sz.002642,6.9500000000,7.2500000000,6.8700000000,6.8800000000,29870250,210055007.9600,4.521000,0.584800
2025-01-24,sz.002642,6.9100000000,7.5700000000,6.9100000000,7.5700000000,51122320,383579243.4000,7.737600,10.029100
2025-01-27,sz.002642,7.6500000000,7.7700000000,7.3700000000,7.4100000000,71716674,542330729.5400,10.854600,-2.113600
2025-02-05,sz.002642,7.5300000000,7.6400000000,7.4200000000,7.6200000000,53703881,406112514.3600,8.128300,2.834000
